4, Tracy I. Fisher, F, 1156 Norman Street, 30, pediatrics, 10500.0
1, John M. Carter, M, 2617 Maud Street, 48, cardiology, 12000.0
2, Dan A. Hernandez, M, 3129 Little Acres Lane, 32, nutrition, 11000.0
3, Donna M. Rhodes, F, 4324 Berkley Street, 36, pneumology, 11500.0
4, Tracy I. Fisher, F, 1156 Norman Street, 30, pediatrics, 10500.0
1, John M. Carter, M, 2617 Maud Street, 48, cardiology, 12000.0
2, Dan A. Hernandez, M, 3129 Little Acres Lane, 32, nutrition, 11000.0
3, Donna M. Rhodes, F, 4324 Berkley Street, 36, pneumology, 11500.0
4, Tracy I. Fisher, F, 1156 Norman Street, 30, pediatrics, 10500.0
14, Anda A. Florea, F, 1621 Pacii Street, 43, cardiology, 12000.0
1, John M. Carter, M, 2617 Maud Street, 48, cardiology, 12000.0
2, Dan A. Hernandez, M, 3129 Little Acres Lane, 32, nutrition, 11000.0
3, Donna M. Rhodes, F, 4324 Berkley Street, 36, pneumology, 11500.0
4, Tracy I. Fisher, F, 1156 Norman Street, 30, pediatrics, 10500.0
14, Anda A. Florea, F, 1621 Pacii Street, 43, cardiology, 12000.0
